2025 NMJL CARD
Category,Hand #,Hand,Colors,Parenthesis,Values
,,,,,
,,,,,
2025,1,FFFF 2025 222 222,"Blue:FFFF, green:2025, red:222, blue:222","(Any 3 Suits, Each Pung 2 or 5 Like Nos.)",X25
2025,2,222 0000 222 5555,"Green:222, blue:0000, red:222 5555",(Any 2 Suits),X25
2025,3,2025 222 555 DDDD,"Green:2025, red:222 555, blue:DDDD",(Any 3 Suits w Matching Dragon),X30
2025,4,FF 222 000 222 555,"Blue:FF, green:222, blue:000, red:222, blue:555",(Any 3 Suits),C30
,,,,,
,,,,,
2468,1a,222 4444 666 8888,Blue:222 4444 666 8888,(Any 1 Suit),X25
2468,1b,222 4444 666 8888,"Green:222 4444, red:666 8888",(Any 2 Suits),X25
2468,2a,FF 2222 4444 6666,"Blue:FF, green:2222, red:4444, blue:6666","(Any 3 Suits, 2+4=6)",X25
2468,2b,FF 2222 6666 8888,"Blue:FF, green:2222, red:6666, blue:8888","(Any 3 Suits, 2+6=8)",X25
2468,3,22 444 66 888 DDDD,Blue:22 444 66 888 DDDD,(Any 1 Suit w Matching Dragon),X25
2468,4,FFFF 2468 222 222,"Blue:FFFF, green:2468, red:222, blue:222","(Any 3 Suits, Pungs Like Evens)",X25
2468,5,FFF 22 44 666 8888,Blue:FFF 22 44 666 8888,(Any 1 Suit),X25
2468,6,222 4444 666 88 88,"Green:222 4444 666, red:88, blue:88","(Any 3 Suits, Pairs Must Be 8s)",X25
2468,7,FF 2222 DDDD 2222,"Blue:FF, green:2222, red:DDDD, blue:2222","(Any 3 Suits, Kongs Like Even)",X25
2468,8,22 44 66 88 222 222,"Green:22 44 66 88, red:222, blue:222","(Any 3 Suits, Pungs Like Even)",C30
,,,,,
,,,,,
ANY LIKE NUMBERS,1,FF 1111 D 1111 D 11,"Blue:FF, green:1111 D, red:1111 D, blue:11",(Any 3 Suits w Matching Dragons),X25
ANY LIKE NUMBERS,2,FFFF 11 111 111 11,"Blue:FFFF, green:11, red:111, blue:111, green:11","(Any 3 Suits, Pairs Same Suit)",X30
ANY LIKE NUMBERS,3,FF 111 111 111 DDD,"Blue:FF, green:111, red:111, blue:111, green:DDD",(Any 3 Suits w Any Dragon),C30
,,,,,
,,,,,
QUINTS,1,FF 111 2222 33333,"Blue:FF, green:111, red:2222, blue:33333","(Any 3 Suits, Any 3 Consec. Nos.)",X40
QUINTS,2,11111 NNNN 22222,Blue:11111 NNNN 22222,"(Any 1 Suit, Any 2 Consec. Nos., Any Wind)",X45
QUINTS,3,FF 11111 11 11111,"Blue:FF, green:11111, red:11, blue:11111","(Any 3 Suits, Any Like Nos.)",X45
,,,,,
,,,,,
CONSECUTIVE RUN,1a,11 222 3333 444 55,Blue:11 222 3333 444 55,"(Any 1 Suit, These Nos. Only)",X25
CONSECUTIVE RUN,1b,55 666 7777 888 99,Blue:55 666 7777 888 99,"(Any 1 Suit, These Nos. Only)",X25
CONSECUTIVE RUN,2a,111 2222 333 4444,Blue:111 2222 333 4444,"(Any 1 Suit, Any 4 Consec. Nos.)",X25
