MOCK PRACTICE CARD
Category,Hand #,Hand,Colors,Parenthesis,Values
,,,,,
,,,,,
2019,1,FF 2019 2222 1111,"Blue:FF, green:2019, red:2222, blue:1111",(Any 3 Suits),X25
2019,2,2019 DDD 2222 DDD,"Green:2019 DDD, red:2222 DDD",(Any 2 Suits w Matching Dragons),X25
2019,3,FFF 2019 DDDD DDD,"Blue:FFF 2019, green:DDDD, red:DDD",(2019 Any 1 Suit w Any Dragons),X25
2019,4,NN EEE 2019 WWW SS,Blue:NN EEE 2019 WWW SS,(2019 Any 1 Suit),C30
,,,,,
,,,,,
2468,1a,FFF 2 444 666 8888,Blue:FFF 2 444 666 8888,(Any 1 Suit),X25
2468,1b,FFF 2 444 666 8888,"Blue:FFF, green:2 444, red:666, blue:8888",(Any 3 Suits),X25
2468,2a,222 444 6666 8888,Blue:222 444 6666 8888,(Any 1 Suit),X25
2468,2b,222 444 6666 8888,"Green:222 444, red:6666 8888",(Any 2 Suits),X25
2468,3,FFF 2222 4 66 8888,"Blue:FFF, green:2222, red:4 66, green:8888",(Any 2 Suits),X25
2468,4,22 44 666 888 DDDD,Blue:22 44 666 888 DDDD,(Any 1 Suit w Matching Dragon),X25
2468,5,FFF 4444 6666 222,"Blue:FFF, green:4444, red:6666, blue:222",(Any 3 Suits),X25
2468,6,22 444 44 666 8888,"Green:22 444, red:44 666, blue:8888",(Any 3 Suits),X25
2468,7,FFF 22 44 666 8888,Blue:FFF 22 44 666 8888,(Any 1 Suit),X25
2468,8,FF 222 888 444 666,"Blue:FF, green:222 888, red:444 666",(Any 2 Suits),C30
,,,,,
,,,,,
ANY LIKE NUMBERS,1,FFF 1111 111 1111,"Blue:FFF, green:1111, red:111, blue:1111",(Any 3 Suits Like Nos.),X25
ANY LIKE NUMBERS,2,FF 1111 DD 1111 DD,"Blue:FF, green:1111 DD, red:1111 DD",(Any 2 Suits w Matching Dragons),X25
ANY LIKE NUMBERS,3,FF 1111 NEWS 1111,"Blue:FF, green:1111, blue:NEWS, red:1111",(Any 2 Suits),X25
ANY LIKE NUMBERS,4,111 DDDD 111 DDDD,"Green:111 DDDD, red:111 DDDD",(Any 2 Suits w Matching Dragons),C30
,,,,,
,,,,,
QUINTS,1,FF 11111 22 33333,Blue:FF 11111 22 33333,"(Any 1 Suit, Any 3 Consec. Nos.)",X40
QUINTS,2,11111 NNNN 22222,"Green:11111, blue:NNNN, red:22222","(Any 2 Suits, Any 2 Consec. Nos., Any Wind)",X45
QUINTS,3,FF 11111 11 11111,"Blue:FF, green:11111, red:11, blue:11111",(Any 3 Suits Like Nos.),X45
QUINTS,4,FFFF 11111 22222,"Blue:FFFF, green:11111, red:22222","(Any 2 Suits, Any 2 Consec. Nos.)",X40
,,,,,
,,,,,
CONSECUTIVE RUN,1a,11 222 3333 444 55,Blue:11 222 3333 444 55,"(Any 1 Suit, These Nos. Only)",X25
CONSECUTIVE RUN,1b,55 666 7777 888 99,Blue:55 666 7777 888 99,"(Any 1 Suit, These Nos. Only)",X25
CONSECUTIVE RUN,2a,111 2222 333 4444,Blue:111 2222 333 4444,"(Any 1 Suit, Any 4 Consec. Nos.)",X25
